0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,0.000430,
0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,
0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291,
0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,
0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,0.002152,
0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,0.002582,
0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,0.003013,
0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,0.003443,
0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,0.003874,
0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,0.004304,
0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,0.004735,
0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,0.005165,
0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,0.005595,
0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,0.006026,
0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,0.006456,
0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,0.006887,
